y_test,logreg_preds,logreg_prob,rf_preds
no,no,0.059419953783120434,no
no,no,0.023337603482985796,no
no,no,0.05571939977520925,no
no,no,0.047131541801527344,no
no,no,0.055979863442995936,no
no,no,0.08290376077534653,no
no,no,0.03524075112886766,no
no,no,0.0434485160808584,no
no,no,0.05676540215795341,no
no,no,0.05126176509590545,no
no,no,0.0836670722498818,no
no,no,0.09424047890514546,no
yes,no,0.06760840279566452,no
yes,no,0.06005602680183532,no
no,no,0.06697943658402543,no
no,no,0.035918171432322295,no
no,no,0.056032196340271616,no
no,no,0.04971133502470469,no
no,no,0.06143625352303938,no
yes,no,0.23624840706143393,no
yes,no,0.07130338890775885,no
no,no,0.033608635467758184,no
yes,no,0.020097541516157974,no
no,no,0.059292393605018305,no
no,no,0.05411961327878293,no
no,no,0.1677335560635638,no
no,no,0.0726738763291956,no
no,no,0.030888767740842614,no
no,no,0.05211535672878142,no
no,no,0.017766762011201833,no
no,no,0.35520962562262115,no
yes,no,0.3958319177619169,yes
yes,yes,0.5499005574810418,no
yes,no,0.057652538047173865,no
yes,no,0.05574291862640475,no
no,no,0.05644087990226265,no
no,no,0.062441780855159126,no
no,no,0.04519481681099587,no
no,no,0.05600266470268256,no
no,no,0.06461325869440562,no
no,no,0.028914164089782524,no
no,no,0.048076726842827135,no
yes,yes,0.7908920683619894,yes
no,no,0.035929463948360975,no
no,no,0.11510652252989956,no
no,no,0.03358189480657495,no
no,no,0.057747751555422,no
no,no,0.05842053086506622,no
no,no,0.03689135355727369,no
no,no,0.03148573801765411,no
yes,no,0.05364539946582635,no
no,yes,0.5064502386324261,no
no,no,0.03147807364567125,no
yes,no,0.32837006951210573,no
no,no,0.02565582267114558,no
no,no,0.0678620875724952,no
no,no,0.0618400513273404,no
no,no,0.061242648746888305,no
yes,yes,0.831253053657466,yes
no,no,0.15474547803767322,no
yes,no,0.06920838666353656,no
no,no,0.04174070767749777,no
no,no,0.03995624422160546,no
no,no,0.02895695860039343,no
no,no,0.4367824788515069,yes
no,no,0.07247425024580714,no
yes,no,0.4745076378628529,no
